Product: Daily Heating Degree Days
Regions: CPC::Regions::StatesCONUS
Weights: Population
MI|34|33|30|40|51|56|56|53|45|32|28|32|44|41|41|40|31|29|29|29|21|23|26|28|28|30|34|37|39|44|39|35|44|48|45|39|35|29|35|46|41|31|29|30|28|35|38|28|17|19|22|18|15|14|19|29|34|28|22|19|38|43|43|34|21|14|22|30|39|45|43|44|47|43|38|37|32|26|24|25|38|33|17|24|20|17|21|24|28|27|21|20|18|16|25|27|23|20|10|3|14|17|19|14|3|3|13|13|7|11|17|17|15|12|8|2|2|14|17|18|11|20|18|20|18|17|20|22|19|13|11|11|9|8|9|1|0|1|15|12|4|6|5|5|7|4|1|1|1|4|6|5|2|1|0|2|3|3|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|4
MN|45|42|43|70|73|72|69|65|56|47|61|63|71|60|52|48|42|38|32|32|30|30|32|34|37|39|42|43|43|43|37|49|58|55|49|49|46|45|61|58|42|34|34|32|33|42|37|24|23|23|22|22|24|34|43|45|43|39|36|37|47|49|39|24|16|32|41|45|58|55|53|49|51|48|38|33|33|26|23|36|40|34|28|27|27|22|20|25|24|22|20|22|19|17|23|24|23|13|12|23|25|21|19|12|8|13|20|19|21|22|18|15|19|16|17|29|34|27|24|23|26|17|15|12|8|13|12|10|9|9|13|9|5|3|4|3|7|13|18|20|20|14|14|13|9|3|5|5|10|12|7|5|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|2|2|3|2|0|4|8|8
MO|32|28|25|46|49|57|52|49|35|22|18|32|39|37|32|23|26|25|23|17|14|20|26|24|26|34|33|30|28|23|24|25|36|37|36|27|19|15|33|40|22|11|17|27|25|26|18|11|11|8|6|6|5|9|16|33|30|20|10|18|26|29|17|14|4|16|14|13|28|34|31|32|36|38|27|12|14|13|4|11|20|9|6|10|13|13|12|9|13|18|15|10|9|10|14|16|16|7|0|1|10|7|2|0|0|0|3|1|0|1|14|14|10|7|3|10|13|13|11|8|15|10|15|12|8|4|4|0|0|0|0|1|1|0|0|0|0|0|2|1|6|5|5|8|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MS|7|2|3|16|23|30|39|38|28|13|1|0|2|3|4|2|2|4|3|1|1|5|10|13|9|15|24|21|19|15|8|5|9|17|22|15|4|1|0|17|12|3|0|6|9|12|17|15|9|2|1|2|3|1|0|11|15|10|0|0|11|15|13|10|1|1|7|4|3|13|16|19|22|24|21|8|2|4|0|0|1|1|0|0|0|0|0|0|0|2|1|0|0|0|0|7|9|7|3|1|0|0|0|0|0|0|0|0|0|0|0|0|6|3|0|0|1|0|0|0|1|0|0|4|6|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MT|51|58|64|65|66|61|59|54|45|48|58|58|57|55|52|50|45|36|32|31|40|39|41|44|45|43|42|38|33|31|38|49|57|56|49|39|42|51|51|38|29|31|35|33|32|29|25|23|26|25|26|25|30|36|39|42|42|42|41|37|33|26|24|28|37|37|34|38|36|35|33|29|24|18|18|25|19|19|27|27|20|22|23|24|22|23|23|22|21|20|21|22|29|27|24|17|16|19|27|28|25|22|15|21|24|24|24|18|18|21|24|18|19|20|24|23|24|24|21|20|19|20|16|9|5|5|11|15|14|10|6|6|18|20|18|19|23|18|17|15|11|10|7|9|15|13|9|7|7|4|1|3|3|3|2|4|5|0|0|4|11|11|7|13|8|8|6|6|6|1|0|0|7|9|6|2
NC|22|16|13|12|28|28|36|45|44|34|22|9|5|15|14|16|11|5|16|14|12|10|11|15|12|10|24|26|25|27|18|13|14|20|31|23|17|10|6|14|27|12|1|13|19|17|23|16|13|10|10|12|10|4|3|2|19|18|8|2|13|23|26|24|18|10|5|10|10|23|25|28|24|33|30|26|15|17|18|5|9|21|14|7|4|1|1|2|6|1|4|8|6|0|3|5|13|15|10|6|1|0|0|1|0|0|0|1|3|0|0|0|10|9|4|0|0|0|0|0|0|1|1|1|1|7|9|8|7|0|0|4|3|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
ND|48|53|66|75|74|71|74|70|64|62|67|70|72|64|56|53|48|41|38|39|36|37|37|41|45|48|44|38|36|34|36|59|61|58|55|58|58|62|70|57|44|36|37|35|35|36|30|27|29|27|25|26|32|38|45|44|49|49|48|48|52|44|33|27|29|44|48|54|63|60|57|59|52|41|34|32|34|26|26|43|37|31|30|28|23|23|23|19|20|22|18|18|21|22|25|24|15|12|22|31|25|20|17|9|14|22|30|26|25|19|18|18|30|30|32|31|29|25|21|18|18|16|13|10|4|4|3|7|11|14|11|7|3|3|4|8|15|18|18|16|16|15|12|11|9|8|5|8|11|12|7|0|0|0|0|0|0|1|0|0|0|0|1|1|2|1|1|4|4|3|4|0|2|6|12|10
NE|36|35|47|56|59|61|58|48|39|35|38|52|49|41|39|35|35|28|29|27|24|30|33|34|38|40|39|35|28|23|28|36|45|43|30|35|30|35|48|42|22|21|25|28|26|24|16|14|18|13|11|12|12|28|38|42|36|29|30|29|32|27|19|14|4|23|23|26|41|39|33|41|40|31|17|15|20|6|11|20|23|11|14|25|22|18|22|23|24|20|22|17|15|17|16|20|16|7|5|20|20|14|6|3|1|8|8|4|6|11|17|14|11|7|19|25|22|26|24|27|19|16|13|11|7|2|0|0|1|6|6|6|3|0|0|0|3|11|15|18|12|8|13|10|4|1|1|1|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3
NH|36|41|38|29|40|42|53|54|57|45|33|23|25|48|44|42|39|38|31|34|27|30|34|33|31|26|30|31|33|41|48|42|40|44|44|39|40|41|33|40|56|53|48|42|42|40|38|38|31|25|30|37|27|19|18|15|29|29|26|20|23|41|55|49|42|37|22|27|36|57|53|48|45|45|43|40|43|37|31|29|38|42|39|32|37|34|29|27|27|32|32|24|24|30|26|27|23|26|20|10|4|11|19|21|16|4|6|20|22|16|22|23|15|12|21|15|8|0|0|18|19|12|14|16|19|10|9|20|24|18|14|13|17|21|15|6|0|0|0|7|11|14|7|5|12|12|7|6|13|13|5|4|10|11|7|11|14|5|2|2|0|0|0|0|0|4|6|1|0|0|0|0|0|0|0|0
NJ|25|30|26|19|36|36|43|47|50|40|28|13|16|35|34|34|32|25|24|28|23|20|23|27|22|19|25|30|29|33|35|29|29|37|38|33|25|25|13|31|40|28|29|30|32|27|32|32|21|15|19|27|20|12|8|6|26|26|17|9|17|31|39|40|34|22|14|11|27|42|41|39|38|42|36|31|32|26|25|20|27|34|26|14|24|17|18|14|24|25|22|16|14|12|10|16|19|18|16|7|0|2|11|13|12|0|1|10|15|6|12|13|13|15|14|8|1|0|0|3|2|1|7|14|10|5|13|16|15|11|14|14|15|9|6|2|0|0|0|3|8|9|5|4|6|1|2|1|7|8|0|0|2|4|5|1|6|7|7|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
